Run, Good, Bad, LDelivered, LRecorded, LAr Corrected, Prescale Corrected, Live Fraction, LAr Fraction, Prescale Fraction
310969, 468, 0, 180.717450, 173.347510, 173.277930, 173.277930, 95.92, 99.96, 100.00
311071, 468, 0, 243.277000, 228.088100, 227.684700, 227.684700, 93.76, 99.82, 100.00
311170, 1010, 0, 394.364800, 370.535900, 370.330200, 370.330200, 93.96, 99.94, 100.00
311244, 502, 0, 271.109460, 250.944810, 250.778540, 250.778540, 92.56, 99.93, 100.00
311287, 838, 0, 385.956409, 366.545350, 366.392641, 366.392641, 94.97, 99.96, 100.00
311321, 870, 0, 383.766500, 364.454100, 364.404000, 364.404000, 94.97, 99.99, 100.00
311365, 543, 0, 291.597100, 275.779300, 275.696100, 275.696100, 94.58, 99.97, 100.00
311402, 724, 0, 352.023320, 330.966420, 330.893720, 330.893720, 94.02, 99.98, 100.00
311473, 236, 0, 106.431000, 102.193000, 102.189000, 102.189000, 96.02, 100.00, 100.00
311481, 750, 0, 357.481700, 339.194300, 339.157100, 339.157100, 94.88, 99.99, 100.00
Total, 95932, 0, 35065.800000, 33038.500000, 32995.400000, 32995.400000, 94.22, 99.87, 100.00
