Run, Good, Bad, LDelivered, LRecorded, LAr Corrected, Prescale Corrected, Live Fraction, LAr Fraction, Prescale Fraction
276262, 297, 0, 6.577847, 6.113741, 6.113300, 6.113300, 92.94, 99.99, 100.00
276329, 412, 0, 12.357400, 11.633400, 11.632400, 11.632400, 94.14, 99.99, 100.00
276336, 31, 0, 0.721691, 0.666327, 0.666285, 0.666285, 92.33, 99.99, 100.00
276416, 110, 0, 4.369980, 4.195630, 4.189760, 4.189760, 96.01, 99.86, 100.00
276511, 292, 0, 9.140400, 8.848300, 8.842340, 8.842340, 96.80, 99.93, 100.00
276689, 266, 0, 10.916480, 10.607552, 10.596228, 10.596228, 97.17, 99.89, 100.00
276778, 17, 0, 0.730118, 0.660174, 0.660137, 0.660137, 90.42, 99.99, 100.00
276790, 36, 0, 1.774030, 1.600820, 1.600410, 1.600410, 90.24, 99.97, 100.00
276952, 140, 0, 7.081980, 6.508780, 6.507980, 6.507980, 91.91, 99.99, 100.00
276954, 17, 0, 0.849359, 0.735063, 0.734988, 0.734988, 86.54, 99.99, 100.00
278880, 462, 0, 23.702070, 21.574410, 21.572350, 21.572350, 91.02, 99.99, 100.00
278912, 410, 0, 20.354802, 19.788141, 19.786370, 19.786370, 97.22, 99.99, 100.00
278968, 124, 0, 10.398834, 9.903832, 9.901880, 9.901880, 95.24, 99.98, 100.00
279169, 790, 0, 60.899840, 55.523480, 55.515670, 55.515670, 91.17, 99.99, 100.00
279259, 102, 0, 7.854470, 7.326550, 7.325060, 7.325060, 93.28, 99.98, 100.00
279279, 228, 0, 17.784813, 17.149516, 17.141060, 17.141060, 96.43, 99.95, 100.00
279284, 456, 0, 33.234500, 32.130600, 32.123700, 32.123700, 96.68, 99.98, 100.00
279345, 628, 0, 55.050019, 53.152812, 53.139993, 53.139993, 96.55, 99.98, 100.00
279515, 5, 0, 0.420670, 0.350293, 0.349917, 0.349917, 83.27, 99.89, 100.00
279598, 697, 0, 70.862306, 68.763936, 68.740695, 68.740695, 97.04, 99.97, 100.00
279685, 782, 0, 77.392609, 75.480240, 75.450377, 75.450377, 97.53, 99.96, 100.00
279764, 69, 0, 7.577750, 6.760260, 6.757970, 6.757970, 89.21, 99.97, 100.00
279813, 507, 0, 49.692570, 48.200393, 48.193057, 48.193057, 97.00, 99.98, 100.00
279867, 253, 0, 30.961050, 29.851810, 29.847080, 29.847080, 96.42, 99.98, 100.00
279928, 9, 0, 1.126220, 1.079880, 1.079880, 1.079880, 95.89, 100.00, 100.00
279932, 407, 0, 46.418540, 45.148310, 45.144530, 45.144530, 97.26, 99.99, 100.00
279984, 552, 0, 68.267870, 65.834160, 65.829410, 65.829410, 96.44, 99.99, 100.00
280231, 780, 0, 92.124919, 89.001124, 88.989524, 88.989524, 96.61, 99.99, 100.00
