Run, Good, Bad, LDelivered, LRecorded, LAr Corrected, Prescale Corrected, Live Fraction, LAr Fraction, Prescale Fraction
297730, 420, 0, 3.939300, 3.417510, 3.417510, 3.417510, 86.75, 100.00, 100.00
298595, 137, 0, 1.133938, 0.972212, 0.972212, 0.972212, 85.74, 100.00, 100.00
298609, 267, 0, 2.232824, 1.965778, 1.965777, 1.965777, 88.04, 100.00, 100.00
298633, 641, 0, 6.378915, 5.977594, 5.977584, 5.977584, 93.71, 100.00, 100.00
298687, 453, 0, 21.917086, 21.005425, 21.005274, 21.005274, 95.84, 100.00, 100.00
298690, 25, 0, 1.513350, 1.434900, 1.434900, 1.434900, 94.82, 100.00, 100.00
298771, 153, 0, 8.651720, 8.144710, 8.144650, 8.144650, 94.14, 100.00, 100.00
298773, 151, 0, 8.974930, 7.933360, 7.933330, 7.933330, 88.39, 100.00, 100.00
298862, 476, 0, 25.731545, 23.982257, 23.982157, 23.982157, 93.20, 100.00, 100.00
298967, 560, 0, 56.460900, 54.379300, 54.377600, 54.377600, 96.31, 100.00, 100.00
299055, 473, 0, 46.528900, 45.322300, 45.321300, 45.321300, 97.41, 100.00, 100.00
299144, 362, 0, 31.094700, 30.300200, 30.300100, 30.300100, 97.44, 100.00, 100.00
299147, 255, 0, 24.779820, 23.896220, 23.895950, 23.895950, 96.43, 100.00, 100.00
299184, 711, 0, 97.750100, 93.525900, 93.524800, 93.524800, 95.68, 100.00, 100.00
299243, 55, 0, 6.165820, 5.979790, 5.979790, 5.979790, 96.98, 100.00, 100.00
299584, 2030, 0, 239.468496, 226.970409, 226.966509, 226.966509, 94.78, 100.00, 100.00
300279, 68, 0, 6.925610, 5.567085, 5.567025, 5.567025, 80.38, 100.00, 100.00
300345, 37, 0, 6.591030, 5.795300, 5.795230, 5.795230, 87.93, 100.00, 100.00
300415, 499, 0, 103.659710, 95.226696, 95.220456, 95.220456, 91.86, 99.99, 100.00
300418, 30, 0, 7.018640, 5.955910, 5.955910, 5.955910, 84.86, 100.00, 100.00
300487, 511, 0, 128.816280, 120.869004, 120.862276, 120.862276, 93.83, 99.99, 100.00
300540, 746, 0, 199.195200, 182.158800, 182.151000, 182.151000, 91.45, 100.00, 100.00
300571, 507, 0, 159.959000, 145.168000, 145.162000, 145.162000, 90.75, 100.00, 100.00
300600, 164, 0, 58.456400, 49.486100, 49.478200, 49.478200, 84.65, 99.98, 100.00
300655, 676, 0, 244.662270, 233.430870, 233.419810, 233.419810, 95.41, 100.00, 100.00
300687, 1114, 0, 358.030700, 335.719000, 335.668500, 335.668500, 93.77, 99.98, 100.00
300784, 23, 0, 7.702400, 7.119650, 7.119590, 7.119590, 92.43, 100.00, 100.00
300800, 830, 0, 302.210240, 277.962999, 277.943730, 277.943730, 91.98, 99.99, 100.00
300863, 1091, 0, 365.118800, 330.817000, 330.797700, 330.797700, 90.61, 99.99, 100.00
300908, 657, 0, 233.207753, 214.004300, 213.826600, 213.826600, 91.77, 99.92, 100.00
301912, 54, 0, 7.389100, 6.320350, 6.320250, 6.320250, 85.54, 100.00, 100.00
301915, 37, 0, 4.452980, 3.795260, 3.795200, 3.795200, 85.23, 100.00, 100.00
301918, 165, 0, 19.983200, 19.403200, 19.403100, 19.403100, 97.10, 100.00, 100.00
301932, 1181, 0, 384.035616, 358.234231, 358.200321, 358.200321, 93.28, 99.99, 100.00
301973, 1660, 0, 495.092000, 469.980000, 469.924000, 469.924000, 94.93, 99.99, 100.00
302053, 1133, 0, 414.312090, 383.545254, 383.385048, 383.385048, 92.57, 99.96, 100.00
302137, 537, 0, 208.509000, 197.697000, 197.684000, 197.684000, 94.81, 99.99, 100.00
302265, 280, 0, 112.585100, 102.380400, 102.368700, 102.368700, 90.94, 99.99, 100.00
302269, 179, 0, 59.258500, 56.536000, 56.534700, 56.534700, 95.41, 100.00, 100.00
302300, 1508, 0, 408.647610, 386.724430, 386.702590, 386.702590, 94.64, 99.99, 100.00
302347, 534, 0, 208.058967, 196.244345, 196.227015, 196.227015, 94.32, 99.99, 100.00
302380, 255, 0, 111.203360, 104.482830, 104.467550, 104.467550, 93.96, 99.99, 100.00
302391, 306, 0, 133.669000, 126.688700, 126.675700, 126.675700, 94.78, 99.99, 100.00
302393, 1780, 0, 533.594000, 504.899000, 504.829000, 504.829000, 94.62, 99.99, 100.00
302737, 202, 0, 89.058200, 82.545900, 82.519000, 82.519000, 92.69, 99.97, 100.00
302831, 77, 0, 17.614370, 17.230550, 17.229580, 17.229580, 97.82, 99.99, 100.00
302872, 2327, 0, 689.968400, 645.988100, 645.904200, 645.904200, 93.63, 99.99, 100.00
302919, 161, 0, 69.255400, 62.988690, 62.942530, 62.942530, 90.95, 99.93, 100.00
302925, 360, 0, 134.137780, 127.988930, 127.973900, 127.973900, 95.42, 99.99, 100.00
302956, 956, 0, 366.704500, 338.701800, 338.391800, 338.391800, 92.36, 99.91, 100.00
303007, 35, 0, 17.713500, 15.675000, 15.672400, 15.672400, 88.49, 99.98, 100.00
303079, 235, 0, 112.675700, 100.958000, 100.931000, 100.931000, 89.60, 99.97, 100.00
303201, 228, 0, 117.672000, 92.107500, 91.607100, 91.607100, 78.27, 99.46, 100.00
303208, 1594, 0, 577.436400, 533.846900, 533.724000, 533.724000, 92.45, 99.98, 100.00
303264, 83, 0, 39.001500, 30.385700, 30.373700, 30.373700, 77.91, 99.96, 100.00
303266, 741, 0, 298.653200, 271.637400, 271.593600, 271.593600, 90.95, 99.98, 100.00
303291, 406, 0, 180.769170, 170.404590, 170.358670, 170.358670, 94.27, 99.97, 100.00
303304, 1434, 0, 507.737900, 475.685000, 475.549200, 475.549200, 93.69, 99.97, 100.00
303338, 1578, 0, 547.226000, 516.739000, 516.568000, 516.568000, 94.43, 99.97, 100.00
303421, 1375, 0, 513.814712, 483.227033, 482.937853, 482.937853, 94.05, 99.94, 100.00
303499, 1332, 0, 443.773400, 420.406500, 420.295300, 420.295300, 94.73, 99.97, 100.00
