Run, Good, Bad, LDelivered, LRecorded, LAr Corrected, Prescale Corrected, Live Fraction, LAr Fraction, Prescale Fraction
348885, 502, 0, 109.290660, 105.607976, 105.601932, 105.601932, 96.63, 99.99, 100.00
348894, 13, 0, 3.428444, 3.287714, 3.287655, 3.287655, 95.90, 100.00, 100.00
348895, 306, 0, 73.597190, 71.515720, 71.511180, 71.511180, 97.17, 99.99, 100.00
349011, 300, 0, 70.742420, 64.644820, 64.641770, 64.641770, 91.38, 100.00, 100.00
349014, 486, 0, 174.996390, 168.633070, 168.621700, 168.621700, 96.36, 99.99, 100.00
349033, 506, 0, 177.852450, 173.655660, 173.627320, 173.627320, 97.64, 99.98, 100.00
349051, 230, 0, 90.356150, 87.927570, 87.903600, 87.903600, 97.31, 99.97, 100.00
349111, 313, 0, 150.539300, 141.990000, 141.973500, 141.973500, 94.32, 99.99, 100.00
349114, 630, 0, 261.207230, 248.238900, 248.213270, 248.213270, 95.04, 99.99, 100.00
349169, 673, 0, 257.518510, 246.069990, 246.047250, 246.047250, 95.55, 99.99, 100.00
349268, 681, 0, 316.440260, 302.493150, 302.399350, 302.399350, 95.59, 99.97, 100.00
349309, 668, 0, 395.703300, 372.012200, 371.986300, 371.986300, 94.01, 99.99, 100.00
349327, 43, 0, 30.759890, 27.456200, 27.454810, 27.454810, 89.26, 99.99, 100.00
349335, 167, 0, 116.372810, 109.678570, 109.665120, 109.665120, 94.25, 99.99, 100.00
349451, 875, 0, 508.915200, 492.824500, 492.717600, 492.717600, 96.84, 99.98, 100.00
349481, 720, 0, 461.443610, 445.737700, 445.302910, 445.302910, 96.60, 99.90, 100.00
349498, 548, 0, 331.223203, 318.351496, 318.207961, 318.207961, 96.11, 99.95, 100.00
349526, 438, 0, 349.126990, 330.116480, 329.975570, 329.975570, 94.55, 99.96, 100.00
349533, 93, 0, 83.926240, 74.422010, 74.389600, 74.389600, 88.68, 99.96, 100.00
349534, 20, 0, 14.298000, 12.105500, 12.097900, 12.097900, 84.67, 99.94, 100.00
349582, 108, 0, 109.825200, 101.343000, 101.293900, 101.293900, 92.28, 99.95, 100.00
349592, 112, 0, 118.753800, 110.604400, 110.533300, 110.533300, 93.14, 99.94, 100.00
349637, 794, 0, 526.450200, 509.446490, 509.338640, 509.338640, 96.77, 99.98, 100.00
349646, 379, 0, 299.927300, 289.687800, 289.557500, 289.557500, 96.59, 99.96, 100.00
349693, 446, 0, 352.327600, 341.511210, 341.391890, 341.391890, 96.93, 99.97, 100.00
